Carrier,Type,Slugs - requires no connection,Slugs - requires connection
DHL Poland Domestic,global,dhl-poland,
DHL Supply Chain APAC,global,dhl-supplychain-apac,
DHL Supply Chain Indonesia,global,dhl-supplychain-id,
DHL Parcel Spain,global,dhlparcel-es,
DHL Parcel NL,global,dhlparcel-nl,
DHL Parcel Russia,global,dhlparcel-ru,
DHL Parcel UK,global,dhlparcel-uk,
Diamond Eurogistics Limited,global,diamondcouriers,
GLS Logistic Systems Canada Ltd./Dicom,global,dicom,
DIDADI Logistics tech,global,didadi,
Dimerco Express Group,global,dimerco,
Direct Freight Express,global,directfreight-au,
Directlog,global,directlog,
Direx,global,direx,
DMF,global,dmfgroup,
DobroPost,global,dobropost,
Doora Logistics,global,doora,
DPD Germany,global,dpd-de,
DPD HK,global,dpd-hk,
DPD Ireland,global,dpd-ireland,
DPD Poland,global,dpd-poland,
DPD Romania,global,dpd-ro,
DPE Express,global,dpe-express,
DPE South Africa,global,dpe-za,
DPEX,global,dpex,
DTD Express,global,dtd,
DTDC India,global,dtdc,
DTDC Australia,global,dtdc-au,
DTDC Express Global PTE LTD,global,dtdc-express,
DX Freight,global,dx-freight,
"Daylight Transport, LLC",global,dylt,
Dynamic Logistics,global,dynamic-logistics,
Easy Mail,global,easy-mail,
Chukou1,global,ec-firstclass,
Ecargo,global,ecargo-asia,
ECexpress,global,ecexpress,
Echo,global,echo,
"ECMS International Logistics Co., Ltd.",global,ecms,
Ecom Express,global,ecom-express,
ECOSCOOTING,global,ecoscooting,
eCoutier,global,ecoutier,
EFS (E-commerce Fulfillment Service),global,efs,
Ekart,global,ekart,
Yilian (Elian) Supply Chain,global,elian-post,
ELTA Hellenic Post,global,elta-courier,
Emirates Post,global,emirates-post,
EMPS Express,global,empsexpress,
Endeavour Delivery,global,endeavour-delivery,
Envialia,global,envialia,
Envialia Reference,global,envialia-reference,
eParcel Korea,global,eparcel-kr,
ePost Global,global,epostglobal,
Equick China,global,equick-cn,
Top Ideal Express,global,esdex,
Eshipping,global,eshipping,
Estes,global,estes,
Etomars,global,etomars,
eTotal Solution Limited,global,etotal,
RETS express,global,ets-express,
EU Fleet Solutions,global,eu-fleet-solutions,
Eurodis,global,eurodis,
EWE Global Express,global,ewe,
DPD France (formerly exapaq),global,exapaq,
Expeditors,global,expeditors,
Expresssale,global,expresssale,
FAR international,global,far-international,
FarGood,global,fargood,
Fastbox,global,fastbox,
Fastrak Services,global,fastrak-th,
Fasttrack,global,fasttrack,
Fastway Ireland,global,fastway-ireland,
Fastway New Zealand,global,fastway-nz,
Fastway South Africa,global,fastway-za,
FDSEXPRESS,global,fdsexpress,
FedEx® Cross Border,global,fedex-crossborder,
FedEx International MailService®,global,fedex-fims,
FedEx® Freight,global,fedex-freight,
FedEx® UK,global,fedex-uk,
FERCAM Logistics & Transport,global,fercam,
Fiege Logistics,global,fiege,
Fiege Netherlands,global,fiege-nl,
First Flight Couriers,global,first-flight,
FirstMile,global,firstmile,
Flyt Express,global,flytexpress,
FMX,global,fmx,
Fast & Furious,global,fnf-za,
Fonsen Logistics,global,fonsen,
forrun Pvt Ltd (Arpatech Venture),global,forrun,
Forward Air,global,forwardair,
Freightquote by C.H. Robinson,global,freightquote,
Frete Rápido,global,freterapido,
Fulfilla,global,fulfilla,
Fulfillmen,global,fulfillmen,
Furdeco,global,furdeco,
GANGBAO Supplychain,global,gangbao,
GBA Services Ltd,global,gba,
GBS-Broker,global,gbs-broker,
GDEX,global,gdex,
Geis CZ,global,geis,
Gel Express Logistik,global,gel-express,
GEM Worldwide,global,gemworldwide,
GEODIS - Distribution & Express,global,geodis-calberson-fr,
GESWL Express,global,geswl,
Giao hàng nhanh,global,ghn,
Tai Wan Global Business,global,global-express,
GlobalTranz,global,globaltranz,
Globavend,global,globavend,
Globegistics Inc.,global,globegistics,
GLS,global,gls,
GLS Croatia,global,gls-croatia,
GLS Czech Republic,global,gls-cz,
GLS General Logistics Systems Slovakia s.r.o.,global,gls-slovakia,
GLS Slovenia,global,gls-slovenia,
Dependable Supply Chain Services,global,godependable,
Global Post,global,goglobalpost,
GoJavas,global,gojavas,
Go Rush,global,gorush,
Greyhound,global,greyhound,
Grupo ampm,global,grupoampm,
GSI EXPRESS,global,gsi-express,
HanJin,global,hanjin,
HCT LOGISTICS CO.LTD.,global,hct-logistics,
Haidaibao,global,hdb,
Haidaibao (BOX),global,hdb-box,
Hellenic (Greece) Post,global,hellenic-post,
"Hellmann Worldwide Logistics, Inc",global,hellmann,
Heppner Internationale Spedition GmbH & Co.,global,heppner,
Heppner France,global,heppner-fr,
Hermesworld,global,hermes,
Hermes Einrichtungs Service GmbH & Co. KG,global,hermes-2mann-handling,
HR Parcel,global,hermes-it,
Hero Express,global,heroexpress,
HFD,global,hfd,
Hua Han Logistics,global,hh-exp,
Hipshipper,global,hipshipper,
HKD International Logistics,global,hkd,
Holisol,global,holisol,
Home Delivery Solutions Ltd,global,home-delivery-solutions,
Hong Kong Post,global,hong-kong-post,
"SHENZHEN HOTSIN CARGO INT'L FORWARDING CO.,LTD",global,hotsin-cargo,
Hound Express,global,houndexpress,
HR Parcel,global,hrparcel,
Hrvatska Pošta,global,hrvatska-posta,
HSDEXPRESS,global,hsdexpress,
HuanTong,global,huantong,
Huodull,global,huodull,
HX Express,global,hx-express,
i-dika,global,i-dika,
i-parcel,global,i-parcel,
Beone Logistics,global,ibeone,
IDEX,global,idexpress,
iDexpress Indonesia,global,idexpress-id,
IML,global,iml,
IMX Mail,global,imxmail,
India Post Domestic,global,india-post,
India Post International,global,india-post-int,
INDOPAKET,global,indopaket,
InPost Paczkomaty,global,inpost-paczkomaty,
InPost,global,inpost-uk,
Intel-Valley Supply chain (ShenZhen) Co. Ltd,global,intel-valley,
Intelipost (TMS for LATAM),global,intelipost,
DPD Local,global,interlink-express,
DPD Local reference,global,interlink-express-reference,
Interparcel Australia,global,interparcel-au,
Interparcel New Zealand,global,interparcel-nz,
Interparcel UK,global,interparcel-uk,
INTEX Paketdienst GmbH,global,intex-de,
Internet Express,global,intexpress,
Israel Post,global,israel-post,
Israel Post Domestic,global,israel-post-domestic,
Italy SDA,global,italy-sda,
J-Net,global,j-net,
Jam Express,global,jam-express,
Janco Ecommerce,global,janco,
Janio Asia,global,janio,
Japan Post,global,japan-post,
Jayon Express (JEX),global,jayonexpress,
JCEX,global,jcex,
JD Worldwide,global,jd-worldwide,
Jersey Post,global,jersey-post,
Jet-Ship Worldwide,global,jet-ship,
金斗云物流,global,jindouyun,
JINSUNG TRADING,global,jinsung,
Jocom,global,jocom,
Joom Logistics,global,joom-logistics,
Joying Box,global,joyingbox,
JS EXPRESS,global,js-express,
J&T CARGO,global,jtcargo,
J&T EXPRESS MALAYSIA,global,jtexpress,
J&T Express Vietnam,global,jtexpress-vn,
JX,global,jx,
K1 Express,global,k1-express,
Kangaroo Worldwide Express,global,kangaroo-my,
KargomKolay (CargoMini),global,kargomkolay,
Kyungdong Parcel,global,kdexp,
KEC,global,kec,
KedaEX,global,kedaex,
Kerry eCommerce,global,kerry-ecommerce,
Kerry Express Thailand,global,kerry-logistics,
Kerry TJ Logistics,global,kerrytj,
Kerry Express (Vietnam) Co Ltd,global,kerryttc-vn,
KGM Hub,global,kgmhub,
Keuhne + Nagel Global,global,kng,
Komon Express,global,komon-express,
Korea Post EMS,global,korea-post,
Korea Post,global,kpost,
KURASI,global,kurasi,
KWE Global,global,kwe-global,
"Shenzhen Jinghuada Logistics Co., Ltd",global,kwt,
Kua Yue Express,global,ky-express,
La Poste,global,la-poste-colissimo,
Lao Post,global,lao-post,
Latvijas Pasts,global,latvijas-pasts,
Leader,global,leader,
Legion Express,global,legion-express,
LexShip,global,lexship,
LHT Express,global,lht-express,
LICCARDI EXPRESS COURIER,global,liccardi-express,
liefery,global,liefery,
Lietuvos Paštas,global,lietuvos-pastas,
Line Clear Express & Logistics Sdn Bhd,global,line,
Lion Parcel,global,lion-parcel,
Logisters,global,logisters,
Logwin Logistics,global,logwin-logistics,
Lone Star Overnight,global,lonestar,
Loomis Express,global,loomis-express,
Lotte Global Logistics,global,lotte,
JiaYou Express,global,ltianexp,
LTL,global,ltl,
Logistic Worldwide Express,global,lwe-hk,
M Xpress Sdn Bhd,global,m-xpress,
M3 Logistics,global,m3logistics,
MailAmericas,global,mailamericas,
MailPlus,global,mailplus,
MailPlus (Japan),global,mailplus-jp,
Mainfreight,global,mainfreight,
Mainway,global,mainway,
Malaysia Post EMS / Pos Laju,global,malaysia-post,
Malaysia Post - Registered,global,malaysia-post-posdaftar,
Matdespatch,global,matdespatch,
Matkahuolto,global,matkahuolto,
MBW Courier Inc.,global,mbw,
Meest,global,meest,
Mexico Redpack,global,mexico-redpack,
Mexico Senda Express,global,mexico-senda-express,
PT MGLOBAL LOGISTICS INDONESIA,global,mglobal,
Mhi,global,mhi,
Mikropakket,global,mikropakket,
Mikropakket Belgium,global,mikropakket-be,
Milkman,global,milkman,
MISUMI Group Inc.,global,misumi-cn,
Mobi Logistica,global,mobi-br,
Mondial Relay,global,mondialrelay,
Morelink,global,morelink,
Morning Express,global,morning-express,
M&X cargo,global,mx-cargo,
My DynaLogic,global,mydynalogic,
NACEX,global,nacex,
NACEX Spain,global,nacex-spain,
NACEX Spain,global,nacex-spain-reference,
Nanjing Woyuan,global,nanjingwoyuan,
National Sameday,global,national-sameday,
Nationwide Express,global,nationwide-my,
NZ Post,global,new-zealand-post,
Newegg Express,global,neweggexpress,
Newgistics,global,newgistics,
Newgistics API,global,newgisticsapi,
New Zealand Couriers,global,newzealand-couriers,
Nhans Solutions,global,nhans-solutions,
Nightline,global,nightline,
Nim Express,global,nim-express,
NimbusPost,global,nimbuspost,
Ninja Van Indonesia,global,ninjavan-id,
Ninja Van Malaysia,global,ninjavan-my,
Ninja Van Thailand,global,ninjavan-thai,
NiPost,global,nipost,
"N&M Transfer Co., Inc.",global,nmtransfer,
Norsk Global,global,norsk-global,
Nova Poshta (International),global,nova-poshtaint,
NOX NightTimeExpress,global,nox-night-time-express,
Nhat Tin Logistics,global,ntlogistics-vn,
"NYT SUPPLY CHAIN LOGISTICS Co.,LTD",global,nytlogistics,
OCA Argentina,global,oca-ar,
OCS ANA Group,global,ocs,
OCS WORLDWIDE,global,ocs-worldwide,
OkayParcel,global,okayparcel,
Old Dominion Freight Line,global,old-dominion,
Omni Parcel,global,omniparcel,
One click delivery services,global,oneclick,
One World Express,global,oneworldexpress,
FedEx® Poland Domestic,global,opek,
Overseas Express,global,overseas-hr,
PACKFLEET,global,packfleet,
Packlink,global,packlink,
平安达腾飞快递,global,padtf,
PAL Express Limited,global,palexpress,
The Pallet Network,global,pallet-network,
Palletways,global,palletways,
Pan-Asia International,global,pan-asia,
Pandu Logistics,global,pandulogistics,
Panther,global,panther,
Paper Express,global,paper-express,
Paquetexpress,global,paquetexpress,
Parcel Force,global,parcel-force,
Parcel2Go,global,parcel2go,
Parcelink Logistics,global,parcelinklogistics,
Parcelled.in,global,parcelled-in,
PARCEL ONE,global,parcelone,
ParcelPoint Pty Ltd,global,parcelpoint,
Parcel Right,global,parcelright,
Parcel To Post,global,parceltopost,
CIRRO E-Commerce,global,parcll,
Park N Parcel,global,parknparcel,
PFC Express,global,pfcexpress,
Pickrr,global,pickrr,
Pickupp,global,pickup,
PICK UPP,global,pickupp-mys,
PICK UPP (Singapore),global,pickupp-sgp,
Pidge,global,pidge,
"PIL Logistics (China) Co., Ltd",global,pil-logistics,
Pilot Freight (Maersk),global,pilot-freight,
Pitney Bowes,global,pitney-bowes,
PITT OHIO,global,pittohio,
Planzer Group,global,planzer,
Poczta Polska,global,poczta-polska,
Pony express,global,pony-express,
Portugal CTT,global,portugal-ctt,
Portugal Seur,global,portugal-seur,
Pos Indonesia Domestic,global,pos-indonesia,
Post Serbia,global,post-serbia,
Post of Slovenia,global,post-slovenia,
Post56,global,post56,
Poșta Română,global,posta-romana,
Poste Italiane,global,poste-italiane,
Poste Italiane Paccocelere,global,poste-italiane-paccocelere,
Posten Norge / Bring,global,posten-norge,
PostNL Domestic,global,postnl,
PostNL International 3S,global,postnl-3s,
PostNL International,global,postnl-international,
PostNord Logistics,global,postnord,
Post ONE,global,postone,
PostPlus,global,postplus,
Iceland Post,global,postur-is,
PayPal Package,global,ppbyb,
Pressio,global,pressiode,
Professional Couriers,global,professional-couriers,
"ProMed Delivery, Inc.",global,promeddelivery,
PTS,global,pts,
PTT Posta,global,ptt-posta,
Quantium,global,quantium,
Qwintry Logistics,global,qwintry,
TracX Logis,global,qxpress,
RAF Philippines,global,raf,
RaidereX,global,raiderex,
RAM,global,ramgroup-za,
Redur Spain,global,redur-es,
Rhenus Logistics,global,rhenus-group,
Rincos,global,rincos,
RL Carriers,global,rl-carriers,
Roadrunner Transport Service,global,roadrunner-freight,
Rocket Parcel International,global,rocketparcel,
RoyalShipments,global,royalshipments,
RPD2man Deliveries,global,rpd2man,
RPX Logistics,global,rpxlogistics,
RPX Online,global,rpxonline,
Russian Post,global,russian-post,
Ruston,global,ruston,
RZY Express,global,rzyexpress,
Safexpress,global,safexpress,
Saia LTL Freight,global,saia-freight,
SAILPOST SPA,global,sailpost,
SAP EXPRESS,global,sap-express,
South African Post Office,global,sapo,
Saudi Post,global,saudi-post,
Sber Logistics,global,sberlogistics-ru,
闪电猴,global,sdh-scm,
Southeastern Freight Lines,global,sefl,
"Sending Transporte Urgente y Comunicacion, S.A.U",global,sending,
Sendit,global,sendit,
Sendle,global,sendle,
Setel Express,global,setel,
SF Express China,global,sf-express-cn,
SF International,global,sfb2c,
SFC,global,sfc,
SFC-SendfromChina,global,sfcservice,
Shadowfax,global,shadowfax,
Ship It Asia,global,ship-it-asia,
ShipEntegra,global,shipentegra,
ShipGate,global,shipgate,
Shippit,global,shippit,
Shiprocket X,global,shiprocket,
SHIPTER,global,shipter,
Westgate Global,global,shipwestgate,
ShopfansRU LLC,global,shopfans,
Olive,global,shopolive,
SENHONG INTERNATIONAL LOGISTICS,global,showl,
Shree Maruti Integrated Logistics Limited,global,shree-maruti,
Shree Anjani Courier,global,shreeanjanicourier,
SHREE NANDAN COURIER,global,shreenandancourier,
SHREE TIRUPATI COURIER SERVICES PVT. LTD.,global,shreetirupati,
Shypmax,global,shyplite,
J&T Express Singapore,global,simplypost,
Singapore Post,global,singapore-post,
Singapore Speedpost,global,singapore-speedpost,
Sin Global Express,global,singlobal-express,
Sinotrans,global,sinotrans,
Siodemka,global,siodemka,
"Slovenská pošta, a.s.",global,sk-posta,
SkyPostal,global,sky-postal,
SKYBOX,global,skybox,
SkyNet Malaysia,global,skynet,
Skynet World Wide Express South Africa,global,skynet-za,
SkyNet Worldwide Express,global,skynetworldwide,
SkyNet Worldwide Express UAE,global,skynetworldwide-uae,
Skynet Worldwide Express UK,global,skynetworldwide-uk,
SMARTCAT,global,smartcat,
Smooth Couriers,global,smooth,
Correos de España,global,spain-correos-es,
Specialised Freight,global,specialisedfreight-za,
Speed Couriers,global,speedcouriers-gr,
Spee-Dee Delivery,global,speedee,
SPEEDEX,global,speedex,
SPOTON Logistics Pvt Ltd,global,spoton,
Spring GDS,global,spring-gds,
SPRINT PACK,global,sprint-pack,
Shopee Express,global,spx,
Shopee Express (Thailand),global,spx-th,
SRE Korea,global,srekorea,
SRT Transport,global,srt-transport,
Stallion Express,global,stallionexpress,
Star Track Courier,global,star-track-courier,
Star Track Express,global,star-track-express,
STARKEN,global,starken,
Stat Overnight,global,statovernight,
STEP FORWARD FREIGHT SERVICE CO LTD,global,stepforwardfs,
STO Express,global,sto,
STONE3PL,global,stone3pl,
Sutton Transport,global,sutton,
PostNord Sweden,global,sweden-posten,
Swiship,global,swiship,
Sunyou Post,global,sypost,
DPEX China,global,szdpex,
SZENDEX,global,szendex,
Taiwan Post,global,taiwan-post,
TAQBIN Hong Kong,global,taqbin-hk,
Yamato Japan,global,taqbin-jp,
PRESIDENT TRANSNET CORP,global,taqbin-taiwan,
TONDA GLOBAL,global,tarrive,
Geniki Taxydromiki,global,taxydromiki,
Tazmanian Freight Systems,global,tazmanian-freight,
TCK Express,global,tck-express,
Testing Courier,global,testing-courier,
TFM Xpress,global,tfm,
TForce Final Mile,global,tforce-finalmile,
Kerry Express Hong Kong,global,tgx,
Thabit Logistics,global,thabit-logistics,
Thailand Thai Post,global,thailand-post,
TP Logistic,global,thaiparcels,
The Courier Guy,global,thecourierguy,
TDG – The Delivery Group,global,thedeliverygroup,
TIG Freight,global,tigfreight,
Tiki,global,tiki,
TNT,global,tnt,
TNT Australia,global,tnt-au,
TNT-Click Italy,global,tnt-click,
TNT France,global,tnt-fr,
TNT Italy,global,tnt-it,
TNT Reference,global,tnt-reference,
TNT UK,global,tnt-uk,
TNT UK Reference,global,tnt-uk-reference,
Toll IPEC,global,toll-ipec,
Team Global Express,global,toll-nz,
Team Global Express,global,toll-priority,
Tolos,global,tolos,
Tophatter Express,global,tophatterexpress,
TopYou,global,topyou,
CTT Express,global,tourline,
Trackon Couriers Pvt. Ltd,global,trackon,
P2P TrakPak,global,trakpak,
Trans Kargo Internasional,global,trans-kargo,
Trans2u,global,trans2u,
TransMission,global,transmission-nl,
TRUMPCARD LLC,global,trumpcard,
Tuffnells Parcels Express,global,tuffnells,
Tuffnells Parcels Express- Reference,global,tuffnells-reference,
UBI Smart Parcel,global,ubi-logistics,
ucexpress,global,uc56,
United Delivery Service,global,uds,
UK Mail,global,uk-mail,
UkrPoshta,global,ukrposhta,
UPS Freight,global,ups-freight,
UPS Mail Innovations,global,ups-mi,
UPS Reference,global,ups-reference,
USF Reddaway,global,usf-reddaway,
uShip,global,uship,
Venipak,global,venipak,
ViaEurope,global,viaeurope,
ViettelPost,global,viettelpost,
VIWO IoT,global,viwo,
VicTas Freight Express,global,vtfe,
Wahana,global,wahana,
WanbExpress,global,wanbexpress,
Weaship,global,weaship,
WeDo Logistics,global,wedo,
WePost Sdn Bhd,global,wepost,
We World Express,global,weworldexpress,
Whistl,global,whistl,
WINIT,global,winit,
Wise Express,global,wise-express,
Wiseloads,global,wiseloads,
WishPost,global,wishpost,
Wizmo,global,wizmo,
wnDirect,global,wndirect,
Worldnet Logistics,global,worldnet,
XDP Express,global,xdp-uk,
XDP Express Reference,global,xdp-uk-reference,
XL Express,global,xl-express,
Xpert Delivery,global,xpert-delivery,
XPO,global,xpo-logistics,
GoGo Xpress,global,xpost,
XpressBees,global,xpressbees,
Xpressen,global,xpressen-dk,
Xingyunyi Logistics,global,xyy,
Yakit,global,yakit,
Yanwen,global,yanwen,
"Shenzhen 1st International Logistics(Group)Co,Ltd",global,ydex,
YDH express,global,ydh-express,
YiFan Express,global,yifan,
英诺供应链,global,yingnuo-logistics,
Yodel International,global,yodel-international,
Yodel Direct,global,yodeldirect,
YRC,global,yrc,
YTO Express,global,yto,
Yunda Express,global,yundaex,
YunExpress,global,yunexpress,
Yurtici Kargo,global,yurtici-kargo,
HUAHANG EXPRESS,global,yycom,
YYEXPRESS,global,yyexpress,
Zajil Express Company,global,zajil-express,
Zeleris,global,zeleris,
Eshun international Logistic,global,zes-express,
Ziing,global,ziingfinalmile,
Zinc,global,zinc,
ZJS International,global,zjs-express,
ZTO Express China,global,zto-domestic,
ZTO Express Global,global,zto-express,
DMSMatrix,global,dms-matrix,
Go People,global,gopeople,
HUBBED,global,hubbed,
Panther Order Number,global,panther-order-number,
Sims Global,global,simsglobal,
Transport Ambientales,global,tanet,
Georgian Post,global,gpost,
GO Logistics & Storage,global,gols,
Luwjistik,global,luwjistik,
U-ENVIOS,global,u-envios,
BUFFALO,global,buffalo,
ACI Logistix,global,acilogistix,
Morning Global,global,morninglobal,
FRONTdoor Collective,global,frontdoorcorp,
TransVirtual,global,transvirtual,
Quiet Platforms,global,airterra,
Burd Delivery Aps,global,burd,
Pandion,global,pandion,
TYP,global,typ,
ICS COURIER,global,icscourier,
ShunBang Express,global,shunbang-express,
ViaXpress,global,viaxpress,
XGS,global,xgs,
uParcel,global,uparcel,
Tomydoor,global,tomydoor,
FlipXpress,global,flipxp,
Northline,global,northline,
Crossflight Limited,global,crossflight,
Ozeparts Shipping,global,ozeparts-shipping,
QTrack,global,qtrack,
Fast Despatch Logistics Limited,global,fastdespatch,
Fastship Express,global,fastship,
Optima Courier,global,optimacourier,
FUJIE EXPRESS,global,fujexp,
iThink Logistics,global,ithinklogistics,
Cago,global,cago,
Eco Freight,global,ecofreight,
Tusk Logistics,global,tusklogistics,
EMS,global,ems,
DeliverDirect,global,smartkargo,
Servientrega,global,servientrega,
Trusk France,global,trusk,
INTERSMARTTRANS & SOLUTIONS SL,global,intersmarttrans,
J&T Express Philippines,global,jtexpress-ph,
Movianto,global,movianto,
Thunder Express Australia,global,thunderexpress,
Flight Logistics Group,global,flightlg,
SHIPXPRESS,global,shipxpres,
ADS Express,global,ads,
Big Smart,global,bigsmart,
Med Africa Logistics,global,medafrica,
Packeta,global,packeta,
Pakajo World,global,pakajo,
Sppedaf Express,global,speedaf,
Cacesa,global,cacesa,
Asyad Express,global,asyadexpress,
EasyRoutes,global,easyroutes,
EXPRESSONE,global,expressone,
GC Express,global,gcx,
ZYEX,global,zyou,
TDN,global,tdn,
Early Bird,global,earlybird,
Swiship JP,global,swiship-jp,
Bringer Parcel Services,global,bringer,
SpeedX,global,speedx,
SkyExpress Internationals,global,skyexpressinternational,
Swiss Universal Express,global,swiss-universal-express,
American West,global,awest,
Ninjavan Vietnam,global,ninjavan-vn,
